occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
359	872	11	1	0x2A	0xF1	212730	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
360	872	11	1	0x2B	0x32	212880	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
361	872	11	1	0x2E	0xF5	213075	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
362	872	11	1	0x2F	0xCF	213240	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
363	872	11	1	0x8	0x3A	213405	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
364	872	11	1	0xB	0x87	213600	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
365	872	11	1	0xC	0x38	213660	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
366	872	11	1	0xE	0xC9	213765	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
367	872	11	1	0x30	0x79	213915	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
368	872	11	1	0x31	0x32	213975	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
369	872	12	1	0x34	0xF1	214170	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
370	872	12	1	0x35	0xC9	214320	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
371	872	12	1	0xE55	0xC6	214470	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
372	872	12	1	0xE57	0x10	214575	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
373	872	12	1	0xE52	0x4E	214770	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
374	872	12	1	0xE53	0x23	214920	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
375	872	12	1	0xE54	0xD7	215010	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
376	872	12	1	0x10	0xDD	215175	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
377	872	12	1	0x14	0x28	215475	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
378	872	12	1	0x16	0x18	215580	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
379	872	12	1	0x28	0xF5	215760	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
380	872	12	1	0x29	0xCF	215925	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
381	872	12	1	0x8	0x3A	216090	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
382	872	12	1	0xB	0x87	216285	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
383	872	12	1	0xC	0x38	216345	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
384	872	12	1	0xE	0xC9	216450	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
385	872	12	1	0x2A	0xF1	216600	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
386	872	12	1	0x2B	0x32	216750	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
387	872	12	1	0x2E	0xF5	216945	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
388	872	12	1	0x2F	0xCF	217110	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
389	872	12	1	0x8	0x3A	217275	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
390	872	12	1	0xB	0x87	217470	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
391	872	12	1	0xC	0x38	217530	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
392	872	12	1	0xE	0xC9	217635	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
393	872	12	1	0x30	0x79	217785	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
394	872	12	1	0x31	0x32	217845	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
395	872	13	1	0x34	0xF1	218040	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
396	872	13	1	0x35	0xC9	218190	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
397	872	13	1	0xE55	0xC6	218340	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
398	872	13	1	0xE57	0x10	218445	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
399	872	13	1	0xE52	0x4E	218640	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
400	872	13	1	0xE53	0x23	218790	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
401	872	13	1	0xE54	0xD7	218880	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
402	872	13	1	0x10	0xDD	219045	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
403	872	13	1	0x14	0x28	219345	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
404	872	13	1	0x16	0x18	219450	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
405	872	13	1	0x28	0xF5	219630	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
406	872	13	1	0x29	0xCF	219795	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
407	872	13	1	0x8	0x3A	219960	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
408	872	13	1	0xB	0x87	220155	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
409	872	13	1	0xC	0x38	220215	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
410	872	13	1	0xE	0xC9	220320	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
411	872	13	1	0x2A	0xF1	220470	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
412	872	13	1	0x2B	0x32	220620	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
413	872	13	1	0x2E	0xF5	220815	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
414	872	13	1	0x2F	0xCF	220980	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
415	872	13	1	0x8	0x3A	221145	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
416	872	13	1	0xB	0x87	221340	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
417	872	13	1	0xC	0x38	221400	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
418	872	13	1	0xE	0xC9	221505	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
419	872	13	1	0x30	0x79	221655	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
420	872	13	1	0x31	0x32	221715	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
421	872	14	1	0x34	0xF1	221910	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
422	872	14	1	0x35	0xC9	222060	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
423	872	14	1	0xE55	0xC6	222210	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
424	872	14	1	0xE57	0x10	222315	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
425	872	14	1	0xE52	0x4E	222510	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
426	872	14	1	0xE53	0x23	222660	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
427	872	14	1	0xE54	0xD7	222750	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
428	872	14	1	0x10	0xDD	222915	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
429	872	14	1	0x14	0x28	223215	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
430	872	14	1	0x16	0x18	223320	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
431	872	14	1	0x28	0xF5	223500	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
432	872	14	1	0x29	0xCF	223665	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
433	872	14	1	0x8	0x3A	223830	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
434	872	14	1	0xB	0x87	224025	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
435	872	14	1	0xC	0x38	224085	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
436	872	14	1	0xE	0xC9	224190	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
437	872	14	1	0x2A	0xF1	224340	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
438	872	14	1	0x2B	0x32	224490	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
439	872	14	1	0x2E	0xF5	224685	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
440	872	14	1	0x2F	0xCF	224850	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
441	872	14	1	0x8	0x3A	225015	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
442	872	14	1	0xB	0x87	225210	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
443	872	14	1	0xC	0x38	225270	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
444	872	14	1	0xE	0xC9	225375	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
445	872	14	1	0x30	0x79	225525	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
446	872	14	1	0x31	0x32	225585	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
447	872	15	1	0x34	0xF1	225780	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
448	872	15	1	0x35	0xC9	225930	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
449	872	15	1	0xE55	0xC6	226080	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
450	872	15	1	0xE57	0x10	226185	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
451	872	15	1	0xE52	0x4E	226380	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
452	872	15	1	0xE53	0x23	226530	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
453	872	15	1	0xE54	0xD7	226620	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
454	872	15	1	0x10	0xDD	226785	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
455	872	15	1	0x14	0x28	227085	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
456	872	15	1	0x16	0x18	227190	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
457	872	15	1	0x28	0xF5	227370	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
458	872	15	1	0x29	0xCF	227535	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
459	872	15	1	0x8	0x3A	227700	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
460	872	15	1	0xB	0x87	227895	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
461	872	15	1	0xC	0x38	227955	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
462	872	15	1	0xE	0xC9	228060	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
463	872	15	1	0x2A	0xF1	228210	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
464	872	15	1	0x2B	0x32	228360	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
465	872	15	1	0x2E	0xF5	228555	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
466	872	15	1	0x2F	0xCF	228720	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
467	872	15	1	0x8	0x3A	228885	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
468	872	15	1	0xB	0x87	229080	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
469	872	15	1	0xC	0x38	229140	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
470	872	15	1	0xE	0xC9	229245	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
471	872	15	1	0x30	0x79	229395	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
472	872	15	1	0x31	0x32	229455	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
473	872	16	1	0x34	0xF1	229650	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
474	872	16	1	0x35	0xC9	229800	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
475	872	16	1	0xE55	0xC6	229950	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
476	872	16	1	0xE57	0x10	230055	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
477	872	16	1	0xE52	0x4E	230250	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
478	872	16	1	0xE53	0x23	230400	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
479	872	16	1	0xE54	0xD7	230490	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
480	872	16	1	0x10	0xDD	230655	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
481	872	16	1	0x14	0x28	230955	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
482	872	16	1	0x16	0x18	231060	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
483	872	16	1	0x28	0xF5	231240	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
484	872	16	1	0x29	0xCF	231405	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
485	872	16	1	0x8	0x3A	231570	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
486	872	16	1	0xB	0x87	231765	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
487	872	16	1	0xC	0x38	231825	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
488	872	16	1	0xE	0xC9	231930	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
489	872	16	1	0x2A	0xF1	232080	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
490	872	16	1	0x2B	0x32	232230	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
491	872	16	1	0x2E	0xF5	232425	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
492	872	16	1	0x2F	0xCF	232590	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
493	872	16	1	0x8	0x3A	232755	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
494	872	16	1	0xB	0x87	232950	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
495	872	16	1	0xC	0x38	233010	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
496	872	16	1	0xE	0xC9	233115	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
497	872	16	1	0x30	0x79	233265	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
498	872	16	1	0x31	0x32	233325	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
499	872	17	1	0x34	0xF1	233520	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
500	872	17	1	0x35	0xC9	233670	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
501	872	17	1	0xE55	0xC6	233820	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
502	872	17	1	0xE57	0x10	233925	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
503	872	17	1	0xE52	0x4E	234120	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
504	872	17	1	0xE53	0x23	234270	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
505	872	17	1	0xE54	0xD7	234360	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
506	872	17	1	0x10	0xDD	234525	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
507	872	17	1	0x14	0x28	234825	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
508	872	17	1	0x16	0x18	234930	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
509	872	17	1	0x28	0xF5	235110	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
510	872	17	1	0x29	0xCF	235275	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
511	872	17	1	0x8	0x3A	235440	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
512	872	17	1	0xB	0x87	235635	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
513	872	17	1	0xC	0x38	235695	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
514	872	17	1	0xE	0xC9	235800	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
515	872	17	1	0x2A	0xF1	235950	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
516	872	17	1	0x2B	0x32	236100	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
517	872	17	1	0x2E	0xF5	236295	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
518	872	17	1	0x2F	0xCF	236460	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
519	872	17	1	0x8	0x3A	236625	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
520	872	17	1	0xB	0x87	236820	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
521	872	17	1	0xC	0x38	236880	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
522	872	17	1	0xE	0xC9	236985	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
523	872	17	1	0x30	0x79	237135	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
524	872	17	1	0x31	0x32	237195	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
525	872	18	1	0x34	0xF1	237390	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
526	872	18	1	0x35	0xC9	237540	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
